Letter,Path,PosDot Row,PosDot Col,StPnt Row,StPnt Col,EndPnt Row,EndPnt Col,TotDeviation,PositiveDev,NegativeDev,MagnitudeDev,TwoEndsAngle,Path Type,

a,0,68,24,62,8,76,41,2.0,2.0,0.0,2.0,4.0,1,
,1,89,26,76,41,76,41,12.0,12.0,0.0,12.0,0.0,0,
b,0,49,94,37,92,62,97,0.0,0.0,0.0,0.0,6.0,2,
,1,80,109,62,97,62,97,12.0,12.0,0.0,12.0,0.0,0,
c,0,80,190,67,205,100,203,-7.0,0.0,7.0,7.0,6.0,3,
d,0,56,281,37,281,75,281,0.0,0.0,0.0,0.0,6.0,2,
,1,80,264,75,281,75,281,12.0,12.0,0.0,12.0,0.0,0,
e,0,89,347,100,366,76,328,3.0,3.0,0.0,3.0,10.0,1,
,1,68,347,76,328,76,328,12.0,12.0,0.0,12.0,0.0,0,
f,0,60,410,59,405,62,416,0.0,0.0,0.0,0.0,4.0,2,
,1,48,424,62,416,35,433,2.0,2.0,0.0,2.0,1.0,1,
,2,60,424,62,416,59,433,0.0,0.0,0.0,0.0,3.0,2,
,3,81,416,62,416,100,416,0.0,0.0,0.0,0.0,6.0,2,
g,0,71,468,71,466,72,471,0.0,0.0,0.0,0.0,3.0,2,
,1,71,487,72,471,72,471,12.0,12.0,0.0,12.0,0.0,0,
,2,86,472,72,471,100,474,0.0,0.0,0.0,0.0,6.0,2,
,3,111,485,100,474,100,474,12.0,12.0,0.0,12.0,0.0,0,
,4,96,470,100,474,93,466,0.0,0.0,0.0,0.0,10.0,2,
h,0,49,554,37,552,62,557,0.0,0.0,0.0,0.0,6.0,2,
,1,80,570,62,557,100,584,3.0,3.0,0.0,3.0,5.0,1,
,2,81,554,62,557,100,552,0.0,0.0,0.0,0.0,6.0,2,
i,0,40,634,40,630,41,639,0.0,0.0,0.0,0.0,3.0,2,
,1,81,635,64,632,64,632,12.0,12.0,0.0,12.0,0.0,0,
j,0,40,686,40,683,40,690,0.0,0.0,0.0,0.0,3.0,2,
,1,89,681,57,688,122,672,3.0,3.0,0.0,3.0,6.0,1,
k,0,57,741,37,739,77,744,0.0,0.0,0.0,0.0,6.0,2,
,1,67,757,77,744,58,770,0.0,0.0,0.0,0.0,2.0,2,
,2,89,757,77,744,102,770,0.0,0.0,0.0,0.0,4.0,2,
,3,88,741,77,744,100,739,0.0,0.0,0.0,0.0,6.0,2,
l,0,68,814,37,810,37,810,12.0,12.0,0.0,12.0,0.0,0,
m,0,66,865,58,865,75,866,0.0,0.0,0.0,0.0,6.0,2,
,1,67,882,75,866,67,899,2.0,2.0,0.0,2.0,3.0,1,
,2,79,914,67,899,101,929,4.0,4.0,0.0,4.0,5.0,1,
,3,84,898,67,899,101,898,0.0,0.0,0.0,0.0,6.0,2,
,4,88,866,75,866,101,866,0.0,0.0,0.0,0.0,6.0,2,
n,0,232,15,229,12,236,18,0.0,0.0,0.0,0.0,5.0,2,
,1,250,31,236,18,272,45,4.0,4.0,0.0,4.0,5.0,1,
,2,254,15,236,18,272,13,0.0,0.0,0.0,0.0,6.0,2,
o,0,251,113,264,95,264,95,12.0,12.0,0.0,12.0,0.0,0,
p,0,280,185,291,182,269,188,0.0,0.0,0.0,0.0,1.0,2,
,1,252,199,269,188,269,188,12.0,12.0,0.0,12.0,0.0,0,
q,0,237,298,231,299,243,298,0.0,0.0,0.0,0.0,6.0,2,
,1,249,298,243,298,243,298,12.0,12.0,0.0,12.0,0.0,0,
,2,273,298,255,298,291,298,0.0,0.0,0.0,0.0,6.0,2,
r,0,246,349,229,349,264,350,0.0,0.0,0.0,0.0,6.0,2,
,1,247,360,264,350,230,371,2.0,2.0,0.0,2.0,1.0,1,
,2,268,350,264,350,272,350,0.0,0.0,0.0,0.0,6.0,2,
s,0,251,421,232,436,264,435,-5.0,0.0,5.0,0.0,6.0,3,
,1,269,421,264,435,271,407,2.0,2.0,0.0,2.0,9.0,1,
t,0,230,482,230,474,230,490,0.0,0.0,0.0,0.0,3.0,2,
,1,230,495,230,490,230,501,0.0,0.0,0.0,0.0,3.0,2,
,2,252,495,230,490,274,501,-3.0,0.0,3.0,3.0,6.0,3,
,3,224,488,230,490,219,486,0.0,0.0,0.0,0.0,11.0,2,
u,0,252,561,230,546,265,577,-4.0,0.0,4.0,4.0,5.0,3,
,1,247,577,265,577,230,578,0.0,0.0,0.0,0.0,0.0,2,
,2,269,578,265,577,273,579,0.0,0.0,0.0,0.0,6.0,2,
v,0,251,642,230,624,230,660,-4.0,0.0,4.0,4.0,3.0,3,
w,0,251,725,230,701,230,733,-5.0,0.0,5.0,0.0,3.0,3,
,1,251,749,230,733,230,765,-5.0,0.0,5.0,5.0,3.0,3,
x,0,240,815,229,804,252,826,0.0,0.0,0.0,0.0,5.0,2,
,1,240,833,252,826,229,841,0.0,0.0,0.0,0.0,1.0,2,
,2,262,833,252,826,273,841,0.0,0.0,0.0,0.0,5.0,2,
,3,262,817,252,826,273,808,0.0,0.0,0.0,0.0,7.0,2,
y,0,254,890,231,881,278,899,0.0,0.0,0.0,0.0,5.0,2,
,1,254,907,278,899,231,916,0.0,0.0,0.0,0.0,1.0,2,
,2,284,896,278,899,290,894,0.0,0.0,0.0,0.0,7.0,2,
z,0,251,969,229,955,272,955,4.0,4.0,0.0,0.0,6.0,1,
,1,272,969,272,955,273,984,0.0,0.0,0.0,0.0,3.0,2,
